CustID,MoB,MaxBalance,PchActiveMths,FinCharges,OnlineTxn,PaytoBalance,OfflinePay,ActiveCards
C#40226348507662,119,182.71,2,69.32,47.33,18.90,1.26,5
C#3090050651279,159,122.69,2,1.04,53.85,16.70,0.82,2
C#16386166025117,133,173.58,1,14.19,56.26,16.22,1.37,2
C#68960767931214,218,178.75,3,14.39,16.67,17.61,32.76,2
C#32941225735305,178,328.44,4,13.65,5.52,16.61,20.76,3
C#60981245514076,116,176.21,3,12.14,40.49,11.26,1.55,2
C#23863063848235,71,85.24,1,1.16,30.68,13.24,0.84,2
C#28791038331332,167,121.68,2,15.08,4.96,23.72,23.21,4
C#45813098529224,97,294.56,3,19.04,48.63,11.47,1.51,1
C#25757228302627,132,174.33,3,14.52,47.40,15.52,0.87,3
C#22165031914592,166,275.13,6,34.88,39.74,15.15,3.97,7
C#38159427750251,101,222.12,2,11.01,45.16,11.33,1.92,2
C#89673604343108,71,148.62,4,12.66,48.09,25.46,1.95,2
C#65482396309817,229,434.86,5,25.70,9.57,17.66,35.04,5
C#49022607516431,191,367.47,2,28.99,9.49,18.19,42.39,2
C#52269848307157,37,237.24,4,14.20,41.47,15.78,1.68,1
C#55501396538642,102,112.21,3,14.53,71.35,16.86,1.34,3
C#60647294166898,166,1160.00,4,147.12,36.09,17.74,9.07,5
C#92250695344573,189,245.13,4,16.90,52.67,26.46,2.03,2
C#98342082457687,111,104.53,1,1.91,47.93,9.22,0.78,3
C#64024901126112,155,229.42,3,17.74,52.05,17.10,0.71,2
C#81942756642494,106,98.16,2,1.42,66.65,11.69,0.63,3
C#2851122642116,157,147.00,2,1.00,45.15,9.28,0.89,2
C#54759515023311,199,312.27,3,16.99,12.34,19.20,22.17,3
C#50000005549862,114,96.67,2,1.24,18.89,14.68,0.57,2
C#37131765484091,100,195.53,3,9.10,34.38,23.29,1.67,2
C#16326341403518,150,348.52,6,54.50,43.02,32.87,1.79,6
C#20553361445754,103,102.87,1,1.00,33.58,9.47,0.85,2
C#3260291500746,80,124.31,2,15.29,44.43,16.88,1.13,3
C#61850289513880,62,207.86,3,18.85,17.08,12.37,1.73,2
C#29589029268756,129,195.44,2,14.05,44.10,16.56,2.24,2
C#99876192361913,124,115.14,4,13.71,46.16,13.84,1.65,2
C#5797768394281,130,460.50,4,22.38,74.08,27.95,1.16,8
C#74331693275116,77,270.53,8,15.10,28.24,103.96,7.54,4
C#20573771233039,118,159.31,1,0.90,22.34,11.55,1.30,2
C#31670555643249,175,324.31,3,16.29,10.83,14.82,18.03,2
C#22666564093651,148,105.80,2,0.44,56.82,7.00,0.81,3
C#11108881488473,174,218.58,2,12.97,25.86,18.42,1.20,1
C#93215779191239,104,317.90,2,9.77,74.16,30.12,1.86,2
C#98372117029974,144,245.97,2,11.50,44.13,27.51,1.30,1
C#98411788555523,174,457.93,8,9.26,43.82,32.44,3.10,2
C#47236902741276,145,101.43,1,1.32,50.45,10.88,1.26,2
C#59802627774314,260,209.51,9,5.60,44.29,80.06,5.48,3
C#49715142734786,121,83.73,2,0.64,59.82,18.14,0.99,2
C#64690353142707,113,174.08,2,14.55,35.08,23.80,0.94,1
C#66687541054131,50,111.85,1,0.92,63.00,8.41,0.84,2
C#40094560980621,122,301.22,2,18.23,51.41,25.80,1.72,3
C#17458319683211,127,160.49,3,18.96,47.07,14.93,1.14,2
C#57370994699467,40,159.09,3,9.78,40.61,24.66,2.26,2
C#7798964231674,89,242.91,3,22.63,44.17,24.66,0.65,3
C#12329607036637,154,205.36,5,10.07,25.13,16.15,1.43,2
C#9843167282256,146,213.51,2,13.02,55.52,25.25,0.82,3
C#58580176393166,158,116.06,1,0.66,34.60,6.93,1.11,2
C#40445216022434,187,1738.29,5,419.00,38.08,16.42,9.73,3
C#90759405636408,92,177.98,1,1.00,36.01,6.06,1.00,3
C#48667229883741,125,344.12,4,45.66,36.11,9.88,3.94,10
C#60050371068324,212,241.75,3,18.55,36.04,21.70,2.04,2
C#22553226184291,79,260.31,3,17.95,4.04,16.09,33.45,2
C#65565593870857,177,109.03,5,11.92,57.66,13.82,2.02,2
C#34846251161562,123,94.57,1,1.05,34.94,9.00,0.63,3
C#50914937221353,157,1061.21,10,298.89,48.59,22.41,9.26,5
C#33191572359156,172,119.87,1,0.97,51.98,13.35,0.81,2
C#17079255645526,129,66.90,1,0.72,61.53,6.76,1.22,3
C#36712881835387,131,256.81,4,18.45,40.51,13.39,1.49,2
C#54866409930054,162,1835.82,8,216.50,40.97,19.48,8.21,6
C#1579577512817,139,1728.71,11,237.82,43.38,10.68,8.47,3
C#69800151080482,128,179.71,4,12.69,61.81,20.28,0.94,2
C#96382795283671,96,242.59,8,7.21,22.10,70.15,6.95,2
C#65994183530117,118,249.86,4,24.47,8.95,33.90,45.94,3
C#80291557282463,80,296.72,4,15.83,22.99,26.79,1.24,2
C#57326694880789,187,418.34,5,17.13,12.73,23.58,24.67,3
C#4888470512343,175,161.47,3,19.65,63.16,30.22,1.39,2
C#36503816097621,118,476.60,7,40.10,25.44,30.14,1.85,6
C#25860770815910,157,208.32,2,20.73,46.85,20.49,1.23,2
C#46731103935819,133,262.96,4,28.19,14.03,25.47,45.02,2
C#82996459904781,134,229.41,4,12.50,47.70,13.84,1.26,2
C#6631016202722,178,393.11,1,45.32,18.09,16.59,2.96,4
C#94200383971566,68,289.20,5,15.96,54.41,18.48,1.17,2
C#25883697954253,207,222.23,3,13.07,21.98,9.12,1.31,2
C#46895960206161,155,140.72,1,1.55,43.01,11.81,1.00,2
C#36009288845492,133,246.36,4,8.30,44.82,10.60,1.77,2
C#5712177309041,171,1157.44,14,162.32,18.91,10.87,9.51,3
C#95075977217199,162,288.92,7,18.50,31.92,56.15,7.51,3
C#73434833281343,165,1304.03,7,324.67,43.18,8.58,8.88,5
C#95881529080284,107,201.50,4,18.62,79.44,22.49,0.45,2
C#73137848611414,109,297.09,2,25.14,37.40,17.60,1.13,2
C#77285050437482,107,423.28,4,56.07,58.21,18.60,1.83,9
C#97362237661566,160,221.78,1,13.80,44.94,16.29,2.08,2
C#68482291159789,234,178.99,7,12.41,53.50,55.67,7.35,3
C#51975355855669,92,268.53,11,11.52,29.63,72.49,5.56,4
C#72165511258471,123,170.98,3,18.92,57.43,11.12,1.67,3
C#99214346878889,183,372.51,5,12.63,31.36,39.92,4.61,3
C#64593086594593,94,174.01,4,13.22,15.54,22.21,10.76,3
C#43486886912272,54,79.49,1,1.02,26.99,8.98,1.27,2
C#80604718840010,123,124.69,1,1.24,24.64,12.38,1.18,2
C#15366620157375,100,288.95,3,36.25,16.08,8.66,50.41,3
C#7795120098348,163,217.91,2,13.95,36.99,24.68,1.12,3
C#43781542071264,215,148.59,4,27.27,10.09,23.60,31.67,4
C#25258062256023,70,467.70,4,38.31,62.52,22.17,1.37,8
C#88199708622125,175,299.65,4,16.48,72.11,27.30,0.82,1
C#95656115255414,112,104.84,2,0.10,46.34,10.56,1.42,3
C#7237080460674,201,1786.10,5,203.36,42.60,13.22,6.60,3
C#68049012892848,182,1758.50,5,207.14,43.99,9.14,6.12,7
C#60215028352644,224,316.57,4,19.35,9.89,19.61,42.14,3
C#86892181125348,118,84.39,1,1.07,61.38,4.71,0.78,3
C#575295739598,136,111.28,1,1.36,42.28,13.56,1.14,2
C#80196217870401,75,159.02,2,8.30,45.09,22.31,1.00,3
C#92969974798157,115,486.32,4,32.23,55.49,20.77,3.84,9
C#4286388956730,41,116.03,1,1.26,59.88,9.68,0.52,2
C#71912881644528,178,218.01,6,13.40,30.64,70.31,8.77,3
C#44938503063893,114,145.36,3,7.97,84.73,21.16,1.26,3
C#16015167401597,158,47.52,3,7.34,37.64,15.76,1.54,1
C#68862998795204,155,307.75,5,7.71,13.77,20.35,29.91,1
C#77550427835121,206,807.92,8,245.57,49.62,11.35,10.90,6
C#68118958654187,102,61.47,2,1.14,53.86,12.80,1.00,3
C#56200680996825,221,319.61,3,10.67,14.25,21.06,28.68,3
C#84583404794661,134,193.97,4,36.07,50.85,10.70,1.63,7
C#46122687049546,188,274.26,4,25.98,12.53,21.45,50.95,3
C#88981595655809,108,220.05,3,18.39,74.44,24.78,1.67,3
C#93378603897455,231,251.79,8,12.00,30.29,75.13,6.61,4
C#96538020768780,80,170.46,4,16.47,56.07,23.54,1.68,2
C#27174944670281,257,345.74,3,21.81,10.89,32.56,24.19,2
C#73673524122265,116,86.25,1,1.39,38.91,6.97,1.19,3
C#30672679975098,109,447.48,4,41.92,25.79,15.86,2.35,9
C#94064303241086,152,138.77,1,1.25,51.14,10.26,1.17,3
C#10704426996563,146,84.70,1,0.61,52.57,12.65,0.94,3
C#12161287032846,57,89.17,2,1.17,26.41,12.00,1.03,2
C#42940560815963,65,133.66,3,15.31,49.18,11.33,1.71,1
C#6454648885265,112,173.93,3,14.07,69.00,21.26,1.34,1
C#72323954600941,200,1605.92,8,326.29,45.65,14.88,10.05,5
C#12487449990365,86,214.29,2,13.21,31.94,25.26,0.59,3
C#59072036989529,115,215.07,3,13.24,52.75,18.07,1.73,2
C#7651662894274,113,378.91,5,39.71,48.55,19.09,2.06,6
C#16645126162367,156,279.66,7,11.36,36.32,44.87,5.79,3
C#49890686930572,145,252.52,4,13.45,37.90,24.72,0.77,1
C#47927756354157,136,220.51,4,16.76,37.61,18.89,1.39,2
C#48652231981038,78,192.00,4,17.90,38.98,22.51,1.63,2
C#17673878695053,195,308.31,13,4.15,35.45,45.59,7.23,4
C#22337957912657,113,222.49,4,12.89,50.14,20.53,1.65,1
C#22732427289738,175,210.43,2,13.12,57.63,22.17,0.97,2
C#60607531258782,148,1770.47,7,249.27,17.92,14.38,10.32,4
C#56944726911328,232,293.33,7,13.19,55.35,68.36,5.75,5
C#22371266311305,115,231.04,4,20.96,52.47,21.71,1.71,2
C#50763696306455,149,114.59,1,1.47,38.77,16.37,0.96,2
C#72025458236770,131,316.39,4,3.81,14.43,17.68,38.71,4
C#50187817303663,167,98.16,3,36.74,49.26,22.16,2.96,11
C#99875740468524,147,170.37,2,19.88,50.47,13.16,1.16,2
C#23122116876602,94,182.84,4,14.36,58.19,25.98,1.62,2
C#36929637104286,179,319.86,5,27.17,14.04,14.43,46.50,2
C#14942361959352,228,1485.85,7,123.85,41.62,15.44,4.01,6
C#36933144306450,135,156.24,3,15.28,56.56,24.73,1.71,2
C#29641084952303,161,901.50,5,187.08,31.30,14.75,6.97,3
C#47233065570714,164,273.64,5,25.72,12.35,38.63,42.05,4
C#5964482003438,312,330.77,11,7.03,41.00,39.68,7.68,3
C#92015250654980,95,141.35,5,20.04,47.93,19.78,1.31,2
C#5326000785552,128,504.46,5,35.37,27.05,17.65,2.00,7
C#2513540730761,124,379.09,5,58.95,49.43,24.67,1.54,9
C#24573460467918,145,1417.07,10,267.67,25.98,15.77,1.25,5
C#20411495571181,118,209.46,2,16.88,40.04,16.09,0.70,2
C#94483499152745,213,204.02,9,10.24,30.32,52.25,5.70,2
C#72984575238572,120,265.51,5,20.22,14.24,25.06,61.93,3
C#51009304198834,202,1491.75,9,190.02,41.63,14.56,8.47,2
C#42220994506937,196,505.59,7,12.39,25.26,113.88,5.46,2
C#7533704320073,92,171.48,4,15.24,38.62,25.34,1.43,2
C#67987241069524,144,97.95,1,1.18,54.47,15.14,0.61,2
C#92539420022367,89,113.27,2,0.58,48.70,7.33,0.23,1
C#4574436874694,146,423.07,2,34.81,50.91,13.05,3.60,5
C#70333907120004,91,733.18,6,24.24,44.04,22.65,2.26,9
C#68360602261887,301,360.05,2,18.16,16.18,21.56,44.64,4
C#48587520872803,191,358.27,4,31.03,10.40,31.15,24.06,2
C#9517119662647,276,393.57,12,18.40,49.63,47.13,8.62,2
C#68091486940952,111,235.20,3,11.40,31.57,24.08,1.75,2
C#53902362096967,151,117.53,3,14.86,46.97,23.20,1.63,2
C#31446971884166,111,214.69,3,12.82,49.79,24.47,1.65,2
C#16376278753884,94,422.51,6,51.96,51.48,20.77,1.93,4
C#35895941201803,120,237.90,3,13.67,50.25,17.09,2.08,1
C#94654356658098,137,190.98,1,16.68,63.60,22.00,1.06,3
C#63696116619666,74,132.62,3,12.66,50.21,19.91,1.95,3
C#33947250631875,146,125.46,2,27.62,11.31,11.54,37.95,3
C#48329405087458,113,124.14,1,1.45,55.15,13.86,1.29,2
C#52461095677893,112,105.20,2,1.52,53.15,10.74,0.35,3
C#87695984528665,153,113.02,1,8.24,39.74,13.82,1.56,2
C#20053956404848,139,103.48,1,0.72,33.61,11.73,0.85,1
C#59718931645278,129,124.51,1,1.24,46.44,12.73,0.51,2
C#996816087070,112,150.20,3,0.89,36.91,22.00,1.99,2
C#86583050934256,134,336.21,4,27.21,9.13,19.34,49.90,3
C#96466585339583,58,235.63,3,13.47,44.40,15.21,1.96,2
C#87890654891495,74,181.49,3,11.32,58.26,23.21,2.26,1
C#92291973324813,129,138.34,2,12.55,17.99,26.17,45.31,3
C#47287000803293,175,275.92,4,13.14,52.85,15.22,1.28,2
C#51743636375759,127,88.27,2,1.10,54.86,9.07,0.97,3
C#10966506914935,158,161.62,1,1.18,53.77,7.19,0.98,2
C#3092059135147,128,236.80,3,39.49,52.59,22.38,2.78,11
C#84901172400777,165,1806.49,7,160.84,33.70,18.34,7.53,3
C#76877772589384,238,382.47,2,24.83,8.06,13.10,45.38,2
C#50551400663318,89,134.01,2,0.77,59.07,15.07,0.95,2
C#1549319614152,141,61.72,1,1.10,22.47,15.45,0.78,2
C#75728888838381,73,192.30,3,14.23,31.54,21.41,1.34,2
C#17201033312816,142,200.86,3,17.43,49.80,24.22,1.13,2
C#18980399556427,123,146.10,1,1.33,55.27,11.39,1.04,2
C#30063567628647,142,127.57,1,0.99,45.61,15.34,0.67,2
C#53693779069672,80,254.13,1,14.40,41.87,17.92,0.57,2
C#75058260566884,221,1733.29,4,165.30,35.85,24.64,5.32,4
C#64404858400645,79,245.17,3,12.84,37.09,23.63,1.06,3
C#85638851515432,166,476.32,4,43.67,97.21,19.55,1.45,8
C#74326172956009,84,133.37,1,0.96,46.82,14.83,0.83,2
C#37643126345115,82,47.11,1,1.15,44.24,14.66,1.14,2
C#11824417948749,114,556.27,4,37.61,39.85,16.60,3.19,10
C#57267878568929,107,207.05,2,13.59,49.44,28.04,1.52,2
C#43076482742645,119,116.94,3,18.93,2.70,17.98,27.46,2
C#53208513191420,77,467.98,3,52.68,43.96,16.09,2.62,15
C#67332856673398,227,296.53,4,15.45,37.98,57.11,5.52,3
C#23430629066998,113,127.50,1,0.49,42.18,9.03,0.69,2
C#22015659000894,193,1725.95,8,280.23,47.21,18.51,10.47,6
C#8005332018789,114,106.40,3,14.13,63.03,30.83,1.16,3
C#64788414111277,126,155.53,2,1.08,19.41,14.39,0.66,2
C#84489877945743,223,156.92,4,15.66,32.48,16.77,1.01,1
C#30256989947144,29,80.71,2,0.86,36.34,12.10,1.15,2
C#59680164827504,239,1393.84,8,266.02,45.58,21.63,7.28,4
C#36789133036688,168,1797.30,7,289.51,25.57,17.50,6.79,6
C#987288062853,61,176.99,5,7.79,68.50,19.62,1.43,2
C#16228203113720,139,312.77,3,18.45,52.32,13.77,1.52,1
C#46218150844969,233,300.20,9,14.83,21.58,56.04,5.52,3
C#31406946946131,95,235.17,3,14.56,35.42,13.89,1.42,3
C#49159998351704,136,1355.57,8,310.08,41.34,17.45,4.99,5
C#32838977555203,181,1726.32,5,349.55,26.97,15.69,6.21,5
C#14548464706027,140,172.34,3,15.51,61.74,21.13,1.94,2
C#80782752764766,218,1841.74,4,170.91,61.64,7.99,6.51,4
C#73544820450954,103,418.30,12,18.28,33.32,45.54,6.65,2
C#4788324072679,115,232.36,3,15.95,47.29,26.40,1.71,1
C#55069405942086,84,338.77,4,13.68,67.70,23.79,1.58,2
C#60872734433222,111,252.20,4,53.59,47.28,27.50,1.13,8
C#69654895933084,139,461.42,5,62.07,32.57,22.75,2.72,7
C#97631924372028,227,1687.45,9,239.07,40.93,16.27,7.83,7
C#12186045745448,84,165.39,4,42.72,36.47,26.52,1.82,11
C#5639261600057,88,158.64,5,10.88,33.53,20.67,2.78,3
C#17334802295840,151,261.22,1,13.14,60.04,12.28,0.98,2
C#72872674834027,180,359.66,7,8.25,36.00,81.21,7.09,3
C#82537619817665,129,306.15,4,47.49,52.29,21.49,4.34,10
C#77222824052754,186,291.58,1,9.55,43.12,12.39,1.13,2
C#2518201662171,156,151.70,2,11.58,46.70,16.21,0.72,2
C#78894046179676,275,373.54,4,23.56,9.05,18.94,25.25,2
C#76920300857786,147,180.93,2,19.51,39.60,18.62,1.26,2
C#9347782533939,150,465.23,6,33.39,25.79,24.37,2.93,7
C#41673317445704,132,150.29,2,1.12,58.95,10.97,0.96,3
C#78771095084250,114,252.04,2,6.11,33.11,18.54,1.30,3
C#51214106696865,131,150.84,3,16.58,22.12,19.32,1.63,2
C#86215643909235,195,245.85,4,23.46,11.24,14.58,26.29,3
C#95227323389054,182,182.86,9,19.08,45.69,103.00,10.20,3
C#14725435583860,134,98.32,1,1.46,36.15,15.42,1.00,3
C#38715804767272,162,215.62,4,28.23,15.75,10.97,33.59,3
C#94504305077659,144,213.73,3,11.42,43.25,17.83,1.93,2
C#51903537476963,69,279.23,3,16.76,67.09,0.40,1.25,2
C#72861455297580,140,308.58,2,8.09,77.78,23.64,1.27,1
C#66905873564748,139,300.01,4,27.29,13.17,18.55,41.21,3
C#10018903331525,132,154.29,4,16.50,51.54,20.01,1.57,2
C#95051233166233,173,233.57,1,24.51,10.57,12.48,35.61,4
C#38533873299931,275,302.02,6,9.96,31.94,65.11,4.36,2
C#56150531851459,83,377.38,4,23.39,33.85,13.58,3.30,9
C#6400153796081,82,420.98,5,41.97,69.99,25.08,2.23,11
C#82330923427790,113,375.20,5,26.19,46.30,14.75,2.80,9
C#70406738072471,172,233.98,5,27.52,11.58,21.43,26.97,3
C#31817734000262,180,1496.60,14,332.82,33.36,19.54,9.99,4
C#232670427814,81,431.67,4,29.66,53.05,15.28,2.84,7
C#52661594001332,52,512.77,3,32.12,57.78,20.81,2.00,6
C#45773680082457,155,206.92,10,12.40,40.19,73.62,4.65,4
C#16646984150593,135,184.91,1,1.51,20.35,3.83,0.89,1
C#73842228991035,190,292.25,3,20.30,14.71,33.09,47.79,4
C#71267460513633,121,186.25,3,9.04,29.89,21.02,1.29,2
C#98335804575324,144,191.10,2,12.71,20.74,18.64,1.74,1
C#79514840933944,111,318.37,5,15.79,12.68,20.85,42.14,3
C#6761060198891,112,1640.02,6,361.74,52.69,10.24,9.99,5
C#85917967973418,278,231.04,4,16.89,8.11,23.64,42.97,3
C#54725085419707,151,189.71,2,8.27,47.92,22.64,1.41,2
C#73632910718325,265,341.19,8,9.15,47.14,64.23,6.26,2
C#22102934880388,107,32.06,5,10.95,67.29,20.90,1.03,2
C#65018561066428,105,115.32,2,1.45,37.02,15.28,1.41,3
C#41963403758702,103,194.18,4,18.03,60.39,9.22,2.23,2
C#10409815817148,210,297.77,4,16.99,17.45,21.66,43.55,3
C#59180335124039,148,1634.39,8,127.67,50.41,27.84,8.09,6
C#99011253292725,349,393.21,5,18.34,16.31,21.98,31.99,4
C#13289282619594,179,279.30,4,15.82,30.16,21.58,1.27,2
C#70213749206962,139,190.37,3,11.14,34.59,23.48,1.98,1
C#40887094042539,127,109.88,2,1.30,23.10,11.82,0.76,2
C#75081805535230,97,128.89,3,12.33,42.98,15.45,2.00,3
C#15721074194678,123,236.39,4,16.04,52.99,14.62,0.95,2
C#11830576073483,155,131.77,2,1.39,30.23,5.59,0.81,2
C#10914935136772,80,217.92,3,15.61,29.49,18.76,1.82,1
C#53425796428312,88,363.41,5,39.53,61.60,21.49,1.87,11
C#35259256267220,120,118.04,2,1.59,56.52,12.27,0.91,2
C#22784494298784,187,286.56,5,19.55,8.62,16.08,41.34,3
C#3304699081216,73,139.98,3,13.41,56.18,15.47,1.23,2
C#32872031441681,67,53.19,1,1.08,40.90,11.91,1.06,3
C#72707599288194,302,322.05,6,11.94,18.18,58.75,7.65,2
C#37196861720,133,129.95,2,0.86,20.52,14.46,1.04,1
C#70000035359846,124,319.68,3,20.20,12.90,16.24,44.64,3
C#46813446673303,146,163.14,3,22.53,45.33,19.64,1.39,2
C#66807116195815,163,626.76,4,73.64,47.13,18.74,2.68,2
C#63550219689693,82,1108.15,4,283.67,34.97,17.80,6.50,6
C#46046881192685,130,348.60,6,42.49,38.65,15.68,2.06,3
C#48153696457035,220,1945.35,5,210.32,47.26,10.90,4.10,5
C#81430577261214,163,242.20,3,15.87,25.22,30.31,1.17,2
C#70110692201018,221,375.50,8,8.62,45.03,43.06,5.58,2
C#70466328886211,163,86.49,4,16.90,72.27,18.74,1.44,1
C#18802059378513,95,138.44,2,0.83,62.40,12.91,0.87,2
C#72232051255748,193,109.45,3,13.21,33.82,17.44,1.25,1
C#56354812831307,226,225.53,10,11.69,39.00,45.35,6.97,1
C#71537896929769,213,266.56,10,7.39,42.74,90.97,5.54,3
C#34228881344728,124,184.87,3,12.10,32.14,19.68,1.99,1
C#32929738788041,174,261.77,5,29.90,8.28,23.51,39.82,2
C#94735696833032,84,252.59,2,15.72,43.27,18.95,1.38,2
C#59489405793812,128,265.46,3,15.15,48.48,9.76,1.93,2
C#49519614084294,109,324.98,3,8.74,46.39,32.78,2.09,1
C#42370549082874,145,240.48,3,16.63,35.44,19.65,1.73,1
C#32287521828840,168,1270.49,8,201.03,42.67,6.92,9.47,3
C#54980747522399,133,131.03,4,21.42,78.83,7.37,1.54,3
